Year,Month,ProductName,Product_Code,Price,Lag_1,Lag_2,Predicted_Units,Recommended_Inventory,Risk
2026,3,Evokalm XR,45,2517507.135,4344,3659.0,4425.442125963425,5531.802657454281,Stable
2026,4,Evokalm XR,45,2517507.135,4344,3659.0,3872.492218388233,4840.615272985291,Stable
2026,1,Evopravir,46,5737.5,3,2.0,57.16960867045126,71.46201083806407,Stock-out
2026,2,Evopravir,46,5737.5,3,2.0,197.42567271134052,246.78209088917566,Stock-out
2026,3,Evopravir,46,5737.5,3,2.0,263.4822889483985,329.3528611854981,Stock-out
2026,4,Evopravir,46,5737.5,3,2.0,-186.19396096171175,-232.7424512021397,Overstock
2026,1,Evopride,47,14249547.2829975,26659,26809.0,28046.350542167198,35057.938177708995,Stable
2026,2,Evopride,47,14249547.2829975,26659,26809.0,26665.37880502222,33331.723506277776,Stable
2026,3,Evopride,47,14249547.2829975,26659,26809.0,26731.435421259277,33414.294276574095,Stable
2026,4,Evopride,47,14249547.2829975,26659,26809.0,26178.485513684092,32723.106892105116,Stable
2026,1,Evopride Plus,48,23105010.3829039,55152,51286.0,54237.610172562476,67797.0127157031,Stable
2026,2,Evopride Plus,48,23105010.3829039,55152,51286.0,52023.790048713374,65029.73756089172,Stable
2026,3,Evopride Plus,48,23105010.3829039,55152,51286.0,52131.72701136468,65164.65876420585,Stable
2026,4,Evopride Plus,48,23105010.3829039,55152,51286.0,51142.8285362509,63928.53567031362,Stable
2026,1,Fasteso,50,3270472.99310002,9632,9580.0,9800.389874497854,12250.487343122317,Stable
2026,2,Fasteso,50,3270472.99310002,9632,9580.0,9635.318448239514,12044.148060299392,Stable
2026,3,Fasteso,50,3270472.99310002,9632,9580.0,9701.375064476573,12126.718830595717,Stable
2026,4,Fasteso,50,3270472.99310002,9632,9580.0,9148.42515690138,11435.531446126724,Stable
2026,1,Femova,51,16802978.8629992,15680,15681.0,15563.659432084758,19454.57429010595,Stable
2026,2,Femova,51,16802978.8629992,15680,15681.0,14999.782797850226,18749.728497312783,Stable
2026,3,Femova,51,16802978.8629992,15680,15681.0,15065.839414087286,18832.29926760911,Stable
2026,4,Femova,51,16802978.8629992,15680,15681.0,14512.889506512092,18141.111883140115,Stable
2026,1,Ferfer,52,19441697.679899,25884,26673.0,28423.73455972765,35529.668199659565,Stable
2026,2,Ferfer,52,19441697.679899,25884,26673.0,27800.91127525458,34751.139094068225,Stable
2026,3,Ferfer,52,19441697.679899,25884,26673.0,27866.967891491637,34833.709864364544,Stable
2026,4,Ferfer,52,19441697.679899,25884,26673.0,27314.017983916452,34142.52247989557,Stable
2026,1,Ferfer Gro,53,421.32,1,4.0,57.16960867045126,71.46201083806407,Overstock
2026,2,Ferfer Gro,53,421.32,1,4.0,197.42567271134052,246.78209088917566,Overstock
2026,3,Ferfer Gro,53,421.32,1,4.0,263.4822889483985,329.3528611854981,Overstock
2026,4,Ferfer Gro,53,421.32,1,4.0,-186.19396096171175,-232.7424512021397,Overstock
2026,1,Finno-Q,54,2781740.84150003,5535,5895.0,5421.23348983219,6776.541862290237,Stable
2026,2,Finno-Q,54,2781740.84150003,5535,5895.0,5282.121929668955,6602.652412086194,Stable
2026,3,Finno-Q,54,2781740.84150003,5535,5895.0,5348.178545906013,6685.223182382516,Stable
2026,4,Finno-Q,54,2781740.84150003,5535,5895.0,4795.228638330824,5994.03579791353,Stable
2026,1,Forsonide,55,413297.88,769,938.0,833.4946529665435,1041.8683162081793,Stable
2026,2,Forsonide,55,413297.88,769,938.0,694.3830928033082,867.9788660041352,Overstock
2026,3,Forsonide,55,413297.88,769,938.0,760.4397090403662,950.5496363004578,Stable
2026,4,Forsonide,55,413297.88,769,938.0,207.48980146517638,259.3622518314705,Overstock
2026,1,Galvecta,56,586980.93,1731,1595.0,1384.6407031507956,1730.8008789384944,Overstock
2026,2,Galvecta,56,586980.93,1731,1595.0,1245.5291429875601,1556.91142873445,Overstock
2026,3,Galvecta,56,586980.93,1731,1595.0,1311.5857592246184,1639.482199030773,Overstock
2026,4,Galvecta,56,586980.93,1731,1595.0,758.6358516494298,948.2948145617872,Overstock
2026,1,Galvecta Plus,57,7024320.1,13971,11939.0,12381.193116488994,15476.491395611243,Stable
2026,2,Galvecta Plus,57,7024320.1,13971,11939.0,11916.50195666043,14895.627445825538,Stable
2026,3,Galvecta Plus,57,7024320.1,13971,11939.0,11982.55857289749,14978.198216121862,Stable
2026,4,Galvecta Plus,57,7024320.1,13971,11939.0,11429.608665322296,14287.01083165287,Overstock
2026,1,Gouric,58,87199428.7200001,145388,145217.0,154555.9054220113,193194.88177751412,Stable
2026,2,Gouric,58,87199428.7200001,145388,145217.0,154103.17095193316,192628.96368991645,Stable
2026,3,Gouric,58,87199428.7200001,145388,145217.0,155321.65219670726,194152.06524588406,Stable
2026,4,Gouric,58,87199428.7200001,145388,145217.0,151030.4067099928,188788.008387491,Stable
2026,1,Histalis,60,2740114.145,14903,15503.0,14529.004258846571,18161.255323558213,Stock-out
2026,2,Histalis,60,2740114.145,14903,15503.0,13907.44129031231,17384.301612890387,Stable
